NAME	FECHA	LAYER	TIPO_FORES	SUP_m2	ALT_DOM	AB	VOL_m3/ha	C11	C12r	C12i	C13r	C13i	C22	C23r	C23i	C33	ang	C11_std	C12r_std	C12i_std	C13r_std	C13i_std	C22_std	C23r_std	C23i_std	C33_std	ang_std
CENTRO3	2018/10/24	parcela 3_4	ÑIRE	200	9.8	12	330	0.0492499172687531	-0.0061350897885859	-0.00336625636555254	0.000813031743746251	-0.00529532274231315	0.0215000212192535	0.000230163976084441	0.00769606279209256	0.0442712493240833	21.9390087127686	0.00329137803055346	0.00163212057668716	0.00110469129867852	0.00595927285030484	0.00278820749372244	0.00370516581460834	0.000625304295681417	0.00209699873812497	0.00903467554599047	0.438863843679428
CENTRO4	2018/10/24	parcela 3_4	ÑIRE	200	12	36	194	0.115235894918442	-0.012249268591404	-0.00337047409266233	0.00172221590764821	0.00376866641454399	0.0652717426419258	-0.00407536560669541	0.0112722078338265	0.0781615823507309	22.5635738372803	0.0108911525458097	0.00906534213572741	0.00279260869137943	0.00998471491038799	0.00621098699048162	0.00496026035398245	0.00210889405570924	0.00227361056022346	0.00308556598611176	0.172989442944527
CENTRO41	2019/04/11	parcela 41_42	ÑIRE	200	3.2	6	13	0.0928356721997261	0.00723716104403138	-0.00102958281058818	0.0484242476522923	-0.0123594747856259	0.0406670607626438	0.0103604281321168	-0.00695317005738616	0.0573052354156971	39.8763008117676	0.0343278460204601	0.00437511038035154	0.0110374772921205	0.0192424897104502	0.00547440769150853	0.0196876134723425	0.000964832201134414	0.00986519549041987	0.00855686701834202	0.896361768245697
CENTRO42	2019/04/11	parcela 41_42	ÑIRE	200	1.5	2	1	0.0673811435699463	0.0107983108609915	-0.0107934828847647	0.031063262373209	0.0102244932204485	0.0527847446501255	0.0159260891377926	0.00548994867131114	0.0705232694745064	41.5731887817383	0.0146599914878607	0.0019643846899271	0.00506543787196279	0.0111718960106373	0.00344253797084093	0.00208040373399854	0.0041213845834136	0.00330810970626771	0.00959398504346609	0.236776605248451
CENTRO44	2018/12/05	parcela 43_44	ÑIRE	200	3.6	16	41	0.159637749195099	-0.00628549652174115	0.013205929659307	0.0437224730849266	0.0187770929187536	0.090449720621109	0.0199473425745964	-0.00339072966016829	0.0990705341100693	24.8915557861328	0.0107498802244663	0.013486722484231	0.00683978665620089	0.00111734191887081	0.00874335505068302	0.00719103217124939	0.0134088629856706	0.00160672643687576	0.0063095148652792	0.372351557016373
CENTRO43	2018/12/05	parcela 43_44	ÑIRE	200	3.8	15	39	0.090735949575901	-0.00825580861419439	-0.00162238837219775	0.000653617084026337	-0.00493320543318987	0.0659740418195725	0.00207887263968587	-0.0104512218385935	0.0642018616199493	23.8507385253906	0.0169391538947821	0.00910933222621679	0.0135160489007831	0.0134745584800839	0.00621110666543245	0.0161605104804039	0.00567796686664224	0.00829178467392921	0.00838383845984936	0.257942825555801
CENTRO48	2019/02/18	parcela 47_48	ÑIRE	200	2.9	7	1	0.099668525159359	0.0058178692124784	-0.00120954436715692	0.0274776723235846	-0.0263023246079683	0.0381441973149776	0.00266178627498448	0.00373966270126402	0.102443896234035	25.0498199462891	0.0506915673613548	0.00470003811642528	0.00961035024374723	0.0131635321304202	0.038983628153801	0.0219795405864716	0.00448207324370742	0.00224143150262535	0.0485018976032734	0.517312109470367
CENTRO47	2019/02/18	parcela 47_48	ÑIRE	200	3	3	7	0.104013867676258	0.00957399420440197	-0.00466214958578348	0.0321296527981758	-0.0195648241788149	0.0505850911140442	0.0092955706641078	-0.00845229905098677	0.104118853807449	25.6105327606201	0.00430544093251228	0.0192519184201956	0.00330838724039495	0.0195887628942728	0.00877562072128058	0.0128111867234111	0.0182487852871418	0.00454609980806708	0.0066970051266253	0.789515793323517
CENTRO45	2019/02/18	parcela 47_48	ÑIRE	200	4.2	17	45	0.164919435977936	0.0244129300117493	0.0312764048576355	0.115030407905579	-0.0168555490672588	0.0656466335058212	0.029161186888814	-0.0321085304021835	0.156190529465675	21.5969867706299	0.0101365679875016	0.00406935717910528	0.00274120806716383	0.0113210305571556	0.00847476348280907	0.00944710802286863	0.00785680580884218	0.00398001912981272	0.0129062123596668	0.806179225444794
CENTRO46	2019/02/18	parcela 47_48	ÑIRE	200	4.9	39	127	0.184237614274025	0.000060416292399168	0.0364151410758495	0.117325693368912	0.00963546242564917	0.0581713765859604	0.0022884311620146	-0.0297599136829376	0.130318328738213	20.6320629119873	0.0510706529021263	0.00514040654525161	0.00699918810278177	0.0383734926581383	0.00527386413887143	0.00473615527153015	0.00660824542865157	0.00455347169190645	0.0341945104300976	1.02365279197693
